,median_income,housing_median_age,total_rooms,ocean_INLAND,ocean_ISLAND,ocean_NEAR BAY,ocean_NEAR OCEAN
0,8.3252,41.0,880.0,0.0,0.0,1.0,0.0
1,8.3014,21.0,7099.0,0.0,0.0,1.0,0.0
2,7.2574,52.0,1467.0,0.0,0.0,1.0,0.0
3,5.6431,52.0,1274.0,0.0,0.0,1.0,0.0
4,3.8462,52.0,1627.0,0.0,0.0,1.0,0.0
5,4.0368,52.0,919.0,0.0,0.0,1.0,0.0
6,3.6591,52.0,2535.0,0.0,0.0,1.0,0.0
7,3.12,52.0,3104.0,0.0,0.0,1.0,0.0
8,2.0804,42.0,2555.0,0.0,0.0,1.0,0.0
9,3.6912,52.0,3549.0,0.0,0.0,1.0,0.0
10,3.2031,52.0,2202.0,0.0,0.0,1.0,0.0
11,3.2705,52.0,3503.0,0.0,0.0,1.0,0.0
12,3.075,52.0,2491.0,0.0,0.0,1.0,0.0
13,2.6736,52.0,696.0,0.0,0.0,1.0,0.0
14,1.9167,52.0,2643.0,0.0,0.0,1.0,0.0
15,2.125,50.0,1120.0,0.0,0.0,1.0,0.0
16,2.775,52.0,1966.0,0.0,0.0,1.0,0.0
17,2.1202,52.0,1228.0,0.0,0.0,1.0,0.0
18,1.9911,50.0,2239.0,0.0,0.0,1.0,0.0
19,2.6033,52.0,1503.0,0.0,0.0,1.0,0.0
20,1.3578,40.0,751.0,0.0,0.0,1.0,0.0
21,1.7135,42.0,1639.0,0.0,0.0,1.0,0.0
22,1.725,52.0,2436.0,0.0,0.0,1.0,0.0
23,2.1806,52.0,1688.0,0.0,0.0,1.0,0.0
24,2.6,52.0,2224.0,0.0,0.0,1.0,0.0
25,2.4038,41.0,535.0,0.0,0.0,1.0,0.0
26,2.4597,49.0,1130.0,0.0,0.0,1.0,0.0
27,1.808,52.0,1898.0,0.0,0.0,1.0,0.0
28,1.6424,50.0,2082.0,0.0,0.0,1.0,0.0
29,1.6875,52.0,729.0,0.0,0.0,1.0,0.0
30,1.9274,49.0,1916.0,0.0,0.0,1.0,0.0
31,1.9615,52.0,2153.0,0.0,0.0,1.0,0.0
32,1.7969,48.0,1922.0,0.0,0.0,1.0,0.0
33,1.375,49.0,1655.0,0.0,0.0,1.0,0.0
34,2.7303,51.0,2665.0,0.0,0.0,1.0,0.0
35,1.4861,49.0,1215.0,0.0,0.0,1.0,0.0
36,1.0972,48.0,1798.0,0.0,0.0,1.0,0.0
37,1.4103,52.0,1511.0,0.0,0.0,1.0,0.0
38,3.48,52.0,1470.0,0.0,0.0,1.0,0.0
39,2.5898,52.0,2432.0,0.0,0.0,1.0,0.0
40,2.0978,52.0,1665.0,0.0,0.0,1.0,0.0
41,1.2852,51.0,936.0,0.0,0.0,1.0,0.0
42,1.025,49.0,713.0,0.0,0.0,1.0,0.0
43,3.9643,52.0,950.0,0.0,0.0,1.0,0.0
44,3.0125,52.0,1443.0,0.0,0.0,1.0,0.0
45,2.6768,52.0,1656.0,0.0,0.0,1.0,0.0
46,2.026,50.0,1125.0,0.0,0.0,1.0,0.0
47,1.7348,43.0,1007.0,0.0,0.0,1.0,0.0
48,0.9506,40.0,624.0,0.0,0.0,1.0,0.0
49,1.775,40.0,946.0,0.0,0.0,1.0,0.0
50,0.9218,21.0,896.0,0.0,0.0,1.0,0.0
51,1.5045,43.0,1868.0,0.0,0.0,1.0,0.0
52,1.1108,41.0,3221.0,0.0,0.0,1.0,0.0
53,1.2475,52.0,1630.0,0.0,0.0,1.0,0.0
54,1.6098,52.0,1170.0,0.0,0.0,1.0,0.0
55,1.4113,52.0,945.0,0.0,0.0,1.0,0.0
56,1.5057,52.0,1238.0,0.0,0.0,1.0,0.0
57,0.8172,52.0,1489.0,0.0,0.0,1.0,0.0
58,1.2171,52.0,1387.0,0.0,0.0,1.0,0.0
59,2.5625,2.0,158.0,0.0,0.0,1.0,0.0
60,3.3929,52.0,1121.0,0.0,0.0,1.0,0.0
61,6.1183,49.0,135.0,0.0,0.0,1.0,0.0
62,0.9011,50.0,760.0,0.0,0.0,1.0,0.0
63,1.191,52.0,1224.0,0.0,0.0,1.0,0.0
64,2.5938,48.0,828.0,0.0,0.0,1.0,0.0
65,1.1667,52.0,1010.0,0.0,0.0,1.0,0.0
66,0.8056,48.0,1455.0,0.0,0.0,1.0,0.0
67,2.6094,52.0,1027.0,0.0,0.0,1.0,0.0
68,1.8516,52.0,572.0,0.0,0.0,1.0,0.0
69,0.9802,46.0,2801.0,0.0,0.0,1.0,0.0
70,1.7719,26.0,768.0,0.0,0.0,1.0,0.0
71,0.7286,46.0,935.0,0.0,0.0,1.0,0.0
72,1.75,49.0,844.0,0.0,0.0,1.0,0.0
73,0.4999,46.0,12.0,0.0,0.0,1.0,0.0
74,2.483,20.0,835.0,0.0,0.0,1.0,0.0
75,0.9241,17.0,1237.0,0.0,0.0,1.0,0.0
76,2.4464,36.0,2914.0,0.0,0.0,1.0,0.0
77,1.1111,19.0,1207.0,0.0,0.0,1.0,0.0
78,0.8026,23.0,1745.0,0.0,0.0,1.0,0.0
79,2.0114,38.0,684.0,0.0,0.0,1.0,0.0
80,1.5,17.0,924.0,0.0,0.0,1.0,0.0
81,1.1667,52.0,210.0,0.0,0.0,1.0,0.0
82,1.5208,52.0,340.0,0.0,0.0,1.0,0.0
83,0.8075,52.0,386.0,0.0,0.0,1.0,0.0
84,1.8088,35.0,948.0,0.0,0.0,1.0,0.0
85,2.4083,52.0,773.0,0.0,0.0,1.0,0.0
86,0.977,40.0,880.0,0.0,0.0,1.0,0.0
87,0.76,10.0,875.0,0.0,0.0,1.0,0.0
88,0.9722,10.0,105.0,0.0,0.0,1.0,0.0
89,1.2434,52.0,249.0,0.0,0.0,1.0,0.0
90,2.0938,16.0,994.0,0.0,0.0,1.0,0.0
91,0.8668,52.0,215.0,0.0,0.0,1.0,0.0
92,0.75,52.0,96.0,0.0,0.0,1.0,0.0
93,2.6354,27.0,1055.0,0.0,0.0,1.0,0.0
94,1.8477,39.0,1715.0,0.0,0.0,1.0,0.0
95,2.0096,36.0,5329.0,0.0,0.0,1.0,0.0
96,2.8345,31.0,4596.0,0.0,0.0,1.0,0.0
97,2.0062,29.0,335.0,0.0,0.0,1.0,0.0
98,1.2185,22.0,3682.0,0.0,0.0,1.0,0.0
99,2.6104,37.0,3633.0,0.0,0.0,1.0,0.0
100,2.0337,11.0,1802.0,0.0,0.0,0.0,0.0
101,3.3889,10.0,653.0,1.0,0.0,0.0,0.0
102,2.7212,39.0,2428.0,0.0,0.0,0.0,1.0
103,2.975,24.0,1438.0,0.0,0.0,0.0,0.0
104,7.5443,9.0,3160.0,0.0,0.0,0.0,0.0
105,5.128,29.0,2737.0,0.0,0.0,0.0,0.0
106,3.1429,20.0,1982.0,0.0,0.0,0.0,1.0
107,3.8088,27.0,6605.0,0.0,0.0,0.0,0.0
108,5.0897,36.0,1390.0,0.0,0.0,0.0,0.0
109,4.2276,17.0,4678.0,0.0,0.0,0.0,0.0
110,5.0718,15.0,3831.0,1.0,0.0,0.0,0.0
111,5.2848,29.0,3795.0,0.0,0.0,0.0,1.0
112,8.6088,16.0,3774.0,0.0,0.0,0.0,0.0
113,4.1,36.0,2064.0,0.0,0.0,0.0,0.0
114,3.55,27.0,1839.0,0.0,0.0,0.0,1.0
115,4.0403,23.0,4040.0,0.0,0.0,0.0,0.0
116,3.4844,46.0,1029.0,0.0,0.0,1.0,0.0
117,4.1797,6.0,10565.0,1.0,0.0,0.0,0.0
118,5.4824,15.0,4363.0,1.0,0.0,0.0,0.0
119,6.287,34.0,2338.0,0.0,0.0,0.0,1.0
120,2.5719,32.0,2762.0,0.0,0.0,0.0,0.0
121,3.1696,13.0,2880.0,0.0,0.0,0.0,1.0
122,3.244,38.0,890.0,0.0,0.0,1.0,0.0
123,6.912,29.0,4148.0,0.0,0.0,0.0,1.0
124,3.0635,8.0,2346.0,0.0,0.0,0.0,0.0
125,2.67,30.0,2948.0,0.0,0.0,0.0,1.0
126,4.8516,34.0,2116.0,0.0,0.0,0.0,0.0
127,1.3713,23.0,2126.0,1.0,0.0,0.0,0.0
128,7.674,15.0,1778.0,0.0,0.0,0.0,0.0
129,3.0737,45.0,2142.0,0.0,0.0,1.0,0.0
130,3.4107,45.0,1285.0,0.0,0.0,0.0,0.0
131,5.3735,22.0,2620.0,1.0,0.0,0.0,0.0
132,6.9533,44.0,2465.0,0.0,0.0,0.0,1.0
133,4.6197,21.0,3639.0,0.0,0.0,0.0,0.0
134,3.22,52.0,2198.0,0.0,0.0,1.0,0.0
135,4.2422,15.0,2298.0,0.0,0.0,0.0,0.0
136,3.1625,23.0,2344.0,1.0,0.0,0.0,0.0
137,3.1989,31.0,4175.0,0.0,0.0,0.0,1.0
138,2.8942,45.0,1827.0,0.0,0.0,0.0,0.0
139,1.6875,19.0,2307.0,1.0,0.0,0.0,0.0
140,1.8144,19.0,1809.0,1.0,0.0,0.0,0.0
141,3.6453,32.0,3885.0,0.0,0.0,0.0,0.0
142,3.5046,18.0,1651.0,1.0,0.0,0.0,0.0
143,7.7307,34.0,1966.0,1.0,0.0,0.0,0.0
144,3.023,25.0,1022.0,0.0,0.0,0.0,0.0
145,3.1607,37.0,1226.0,0.0,0.0,0.0,0.0
146,3.0742,24.0,9493.0,0.0,0.0,1.0,0.0
147,4.0333,32.0,3418.0,0.0,0.0,0.0,0.0
148,2.6154,44.0,1944.0,0.0,0.0,0.0,0.0
149,5.542,24.0,9071.0,0.0,0.0,0.0,0.0
150,3.75,16.0,3467.0,1.0,0.0,0.0,0.0
151,4.9609,29.0,889.0,0.0,0.0,0.0,0.0
152,5.0507,14.0,5392.0,0.0,0.0,0.0,0.0
153,3.0,52.0,1901.0,0.0,0.0,0.0,0.0
154,3.238,40.0,2352.0,0.0,0.0,0.0,0.0
155,3.5606,30.0,2290.0,0.0,0.0,0.0,1.0
156,3.0938,25.0,1858.0,0.0,0.0,0.0,1.0
157,7.5078,24.0,6145.0,0.0,0.0,0.0,0.0
158,6.9833,10.0,11659.0,1.0,0.0,0.0,0.0
159,3.7306,34.0,2392.0,0.0,0.0,0.0,1.0
160,2.7736,20.0,2701.0,1.0,0.0,0.0,0.0
161,3.5902,39.0,3167.0,0.0,0.0,0.0,0.0
162,2.9886,21.0,2309.0,1.0,0.0,0.0,0.0
163,8.9083,15.0,2126.0,0.0,0.0,1.0,0.0
164,6.6104,15.0,5645.0,0.0,0.0,0.0,0.0
165,1.2176,29.0,2554.0,1.0,0.0,0.0,0.0
166,1.125,18.0,1756.0,1.0,0.0,0.0,0.0
167,3.0625,37.0,422.0,0.0,0.0,0.0,1.0
168,2.77,27.0,1226.0,1.0,0.0,0.0,0.0
169,2.325,32.0,1288.0,1.0,0.0,0.0,0.0
170,2.7045,38.0,2009.0,0.0,0.0,0.0,0.0
